userid,phone_no,brand,description,os,ram,screen_size,processor,gpu,price,warranty
user1955,+91 8357350932,mi,"mi laptop with 32gb RAM, 17-inch screen, i3 processor, and rtx 3080 GPU",windows,32gb,17,i3,rtx 3080,247442,yes
user7289,+91 7757183261,asus,"asus laptop with 8gb RAM, 16-inch screen, ryzen 3 processor, and rtx 2060 GPU",linux,8gb,16,ryzen 3,rtx 2060,96058,no
user9876,+91 9549458078,hp,"hp laptop with 4gb RAM, 13-inch screen, i9 processor, and gtx 1050 GPU",linux,4gb,13,i9,gtx 1050,58950,yes
user3194,+91 7327257831,apple,"apple laptop with 4gb RAM, 14-inch screen, ryzen 5 processor, and gtx 1650 GPU",macos,4gb,14,ryzen 5,gtx 1650,162000,yes
user1729,+91 8662065435,acer,"acer laptop with 8gb RAM, 16-inch screen, ryzen 9 processor, and rtx 2060 GPU",windows,8gb,16,ryzen 9,rtx 2060,134448,no
user1923,+91 7623703085,lenovo,"lenovo laptop with 16gb RAM, 15-inch screen, ryzen 5 processor, and rtx 2060 GPU",macos,16gb,15,ryzen 5,rtx 2060,78900,yes
user5449,+91 8173375024,lenovo,"lenovo laptop with 32gb RAM, 15-inch screen, ryzen 9 processor, and gtx 1050 GPU",linux,32gb,15,ryzen 9,gtx 1050,241888,no
user1105,+91 8235369427,mi,"mi laptop with 16gb RAM, 17-inch screen, i9 processor, and rtx 3080 GPU",macos,16gb,17,i9,rtx 3080,135362,no
user2685,+91 9699988854,acer,"acer laptop with 32gb RAM, 13-inch screen, ryzen 3 processor, and rtx 3060 GPU",macos,32gb,13,ryzen 3,rtx 3060,178542,yes
user4464,+91 9534776865,lenovo,"lenovo laptop with 32gb RAM, 17-inch screen, ryzen 9 processor, and rtx 2060 GPU",macos,32gb,17,ryzen 9,rtx 2060,176143,yes
user5432,+91 9958488839,acer,"acer laptop with 16gb RAM, 14-inch screen, i7 processor, and rtx 3070 GPU",macos,16gb,14,i7,rtx 3070,179996,no
user6726,+91 8160928100,hp,"hp laptop with 16gb RAM, 16-inch screen, i3 processor, and gtx 1650 GPU",linux,16gb,16,i3,gtx 1650,77669,no
user1927,+91 9382905471,asus,"asus laptop with 8gb RAM, 17-inch screen, i9 processor, and rtx 2060 GPU",linux,8gb,17,i9,rtx 2060,124385,no
user8384,+91 8416819317,hp,"hp laptop with 32gb RAM, 14-inch screen, ryzen 9 processor, and rtx 3060 GPU",macos,32gb,14,ryzen 9,rtx 3060,270322,yes
user6806,+91 7868408786,acer,"acer laptop with 16gb RAM, 13-inch screen, i5 processor, and rtx 3060 GPU",macos,16gb,13,i5,rtx 3060,157091,no
user9771,+91 7461304597,apple,"apple laptop with 8gb RAM, 15-inch screen, ryzen 3 processor, and gtx 1050 GPU",macos,8gb,15,ryzen 3,gtx 1050,159000,no
user9998,+91 9633999097,lenovo,"lenovo laptop with 8gb RAM, 13-inch screen, ryzen 9 processor, and rtx 2060 GPU",windows,8gb,13,ryzen 9,rtx 2060,78155,no
user1913,+91 8974602572,asus,"asus laptop with 2gb RAM, 13-inch screen, i5 processor, and gtx 1050 GPU",macos,2gb,13,i5,gtx 1050,34801,yes
user9158,+91 7314795293,apple,"apple laptop with 16gb RAM, 15-inch screen, i5 processor, and rtx 3060 GPU",macos,16gb,15,i5,rtx 3060,168000,no
user2652,+91 9515167054,acer,"acer laptop with 8gb RAM, 16-inch screen, ryzen 9 processor, and rtx 2060 GPU",macos,8gb,16,ryzen 9,rtx 2060,69876,no
user6909,+91 9380744670,hp,"hp laptop with 16gb RAM, 13-inch screen, i9 processor, and rtx 3060 GPU",macos,16gb,13,i9,rtx 3060,102555,no
user6424,+91 8799798485,asus,"asus laptop with 32gb RAM, 14-inch screen, ryzen 5 processor, and rtx 3070 GPU",windows,32gb,14,ryzen 5,rtx 3070,267345,yes
user6759,+91 8622910850,asus,"asus laptop with 4gb RAM, 17-inch screen, ryzen 5 processor, and gtx 1650 GPU",macos,4gb,17,ryzen 5,gtx 1650,43548,no
user4789,+91 8340091689,hp,"hp laptop with 8gb RAM, 14-inch screen, ryzen 9 processor, and rtx 3070 GPU",macos,8gb,14,ryzen 9,rtx 3070,77468,no
user5570,+91 9072793334,lenovo,"lenovo laptop with 2gb RAM, 13-inch screen, ryzen 5 processor, and rtx 3070 GPU",linux,2gb,13,ryzen 5,rtx 3070,40852,no
user6964,+91 8592051938,hp,"hp laptop with 16gb RAM, 17-inch screen, ryzen 7 processor, and rtx 2060 GPU",macos,16gb,17,ryzen 7,rtx 2060,131906,yes
user7777,+91 9086004147,asus,"asus laptop with 8gb RAM, 16-inch screen, i3 processor, and gtx 1050 GPU",windows,8gb,16,i3,gtx 1050,81966,yes
user8272,+91 9015011520,apple,"apple laptop with 4gb RAM, 14-inch screen, i5 processor, and rtx 2060 GPU",macos,4gb,14,i5,rtx 2060,165000,yes
user7459,+91 8996000808,mi,"mi laptop with 32gb RAM, 15-inch screen, ryzen 5 processor, and rtx 3060 GPU",windows,32gb,15,ryzen 5,rtx 3060,249057,yes
user1743,+91 8019752685,acer,"acer laptop with 16gb RAM, 14-inch screen, ryzen 9 processor, and rtx 2060 GPU",linux,16gb,14,ryzen 9,rtx 2060,141410,yes
user7715,+91 7604388521,mi,"mi laptop with 8gb RAM, 15-inch screen, ryzen 3 processor, and rtx 2060 GPU",windows,8gb,15,ryzen 3,rtx 2060,71697,no
user3260,+91 7253702480,apple,"apple laptop with 8gb RAM, 17-inch screen, i5 processor, and rtx 3060 GPU",macos,8gb,17,i5,rtx 3060,170000,no
user2945,+91 8250907715,mi,"mi laptop with 32gb RAM, 15-inch screen, i5 processor, and rtx 3060 GPU",linux,32gb,15,i5,rtx 3060,192382,yes
user3826,+91 9193167856,hp,"hp laptop with 2gb RAM, 17-inch screen, ryzen 5 processor, and rtx 3060 GPU",windows,2gb,17,ryzen 5,rtx 3060,43872,no
user8822,+91 9357288678,mi,"mi laptop with 8gb RAM, 15-inch screen, ryzen 9 processor, and gtx 1650 GPU",windows,8gb,15,ryzen 9,gtx 1650,101326,yes
user3141,+91 9171488644,asus,"asus laptop with 8gb RAM, 16-inch screen, i3 processor, and rtx 3060 GPU",windows,8gb,16,i3,rtx 3060,81063,no
user2984,+91 8553115681,lenovo,"lenovo laptop with 32gb RAM, 15-inch screen, i9 processor, and gtx 1050 GPU",macos,32gb,15,i9,gtx 1050,253748,yes
user1978,+91 8934429335,hp,"hp laptop with 16gb RAM, 16-inch screen, ryzen 5 processor, and rtx 3080 GPU",linux,16gb,16,ryzen 5,rtx 3080,122246,yes
user8630,+91 9409199244,mi,"mi laptop with 32gb RAM, 16-inch screen, ryzen 7 processor, and rtx 3070 GPU",macos,32gb,16,ryzen 7,rtx 3070,193967,no
user1519,+91 9916275651,asus,"asus laptop with 4gb RAM, 15-inch screen, i9 processor, and rtx 2060 GPU",windows,4gb,15,i9,rtx 2060,50519,yes
user9795,+91 8359021497,asus,"asus laptop with 16gb RAM, 13-inch screen, i7 processor, and gtx 1050 GPU",windows,16gb,13,i7,gtx 1050,110670,yes
user8444,+91 9690936569,mi,"mi laptop with 8gb RAM, 16-inch screen, ryzen 9 processor, and gtx 1650 GPU",windows,8gb,16,ryzen 9,gtx 1650,107639,no
user3784,+91 9086075587,hp,"hp laptop with 4gb RAM, 15-inch screen, i3 processor, and rtx 3080 GPU",windows,4gb,15,i3,rtx 3080,59214,no
user5238,+91 8735487414,acer,"acer laptop with 2gb RAM, 14-inch screen, i5 processor, and rtx 3070 GPU",linux,2gb,14,i5,rtx 3070,41100,no
user6011,+91 8470300768,asus,"asus laptop with 32gb RAM, 17-inch screen, ryzen 9 processor, and gtx 1650 GPU",macos,32gb,17,ryzen 9,gtx 1650,226030,yes
user7628,+91 9073497716,acer,"acer laptop with 8gb RAM, 16-inch screen, i5 processor, and rtx 3060 GPU",linux,8gb,16,i5,rtx 3060,131726,no
user3552,+91 7296846854,apple,"apple laptop with 32gb RAM, 14-inch screen, i3 processor, and rtx 3070 GPU",macos,32gb,14,i3,rtx 3070,178926,yes
user6413,+91 7808262505,acer,"acer laptop with 4gb RAM, 16-inch screen, ryzen 9 processor, and rtx 3060 GPU",windows,4gb,16,ryzen 9,rtx 3060,49969,yes
user1089,+91 7130363529,mi,"mi laptop with 16gb RAM, 14-inch screen, ryzen 5 processor, and rtx 2060 GPU",macos,16gb,14,ryzen 5,rtx 2060,141594,no
user5264,+91 8839705327,acer,"acer laptop with 32gb RAM, 17-inch screen, i9 processor, and rtx 3070 GPU",windows,32gb,17,i9,rtx 3070,195731,no
user3293,+91 9418321536,mi,"mi laptop with 4gb RAM, 17-inch screen, ryzen 3 processor, and rtx 3080 GPU",linux,4gb,17,ryzen 3,rtx 3080,57631,no
user4579,+91 8747626588,apple,"apple laptop with 16gb RAM, 14-inch screen, ryzen 5 processor, and gtx 1050 GPU",macos,16gb,14,ryzen 5,gtx 1050,160000,yes
user2677,+91 7299275854,hp,"hp laptop with 2gb RAM, 16-inch screen, i7 processor, and gtx 1050 GPU",macos,2gb,16,i7,gtx 1050,38203,yes
user9252,+91 8098972102,hp,"hp laptop with 8gb RAM, 15-inch screen, i7 processor, and gtx 1050 GPU",windows,8gb,15,i7,gtx 1050,70496,yes
user1282,+91 7638387339,acer,"acer laptop with 2gb RAM, 14-inch screen, i9 processor, and rtx 2060 GPU",windows,2gb,14,i9,rtx 2060,40972,no
user7080,+91 9035963921,hp,"hp laptop with 2gb RAM, 15-inch screen, ryzen 7 processor, and rtx 2060 GPU",linux,2gb,15,ryzen 7,rtx 2060,38398,yes
user3574,+91 8182779505,mi,"mi laptop with 8gb RAM, 14-inch screen, ryzen 7 processor, and rtx 3080 GPU",windows,8gb,14,ryzen 7,rtx 3080,115373,no
user8772,+91 7394907707,lenovo,"lenovo laptop with 8gb RAM, 13-inch screen, i5 processor, and rtx 2060 GPU",linux,8gb,13,i5,rtx 2060,59951,no
user9647,+91 8932670492,hp,"hp laptop with 8gb RAM, 16-inch screen, ryzen 5 processor, and rtx 2060 GPU",macos,8gb,16,ryzen 5,rtx 2060,73450,no
user3948,+91 9125939214,apple,"apple laptop with 4gb RAM, 13-inch screen, ryzen 9 processor, and gtx 1050 GPU",macos,4gb,13,ryzen 9,gtx 1050,163000,yes
user9748,+91 9642585927,hp,"hp laptop with 8gb RAM, 15-inch screen, i5 processor, and rtx 3080 GPU",linux,8gb,15,i5,rtx 3080,60660,no
user6504,+91 7086993866,acer,"acer laptop with 32gb RAM, 15-inch screen, ryzen 9 processor, and rtx 2060 GPU",linux,32gb,15,ryzen 9,rtx 2060,205130,yes
user3748,+91 9319490736,lenovo,"lenovo laptop with 4gb RAM, 14-inch screen, i7 processor, and rtx 3060 GPU",windows,4gb,14,i7,rtx 3060,55485,no
user5199,+91 8724225896,lenovo,"lenovo laptop with 4gb RAM, 17-inch screen, i9 processor, and rtx 3070 GPU",windows,4gb,17,i9,rtx 3070,64025,no
user9512,+91 7899067906,lenovo,"lenovo laptop with 4gb RAM, 16-inch screen, ryzen 5 processor, and gtx 1650 GPU",windows,4gb,16,ryzen 5,gtx 1650,57409,yes
user1341,+91 7183880713,mi,"mi laptop with 2gb RAM, 17-inch screen, i5 processor, and rtx 2060 GPU",linux,2gb,17,i5,rtx 2060,39655,yes
user4155,+91 9358506813,mi,"mi laptop with 2gb RAM, 14-inch screen, ryzen 5 processor, and rtx 3060 GPU",linux,2gb,14,ryzen 5,rtx 3060,37933,no
user9412,+91 9877075876,lenovo,"lenovo laptop with 8gb RAM, 17-inch screen, i3 processor, and rtx 3080 GPU",windows,8gb,17,i3,rtx 3080,73455,yes
user6621,+91 8619445387,hp,"hp laptop with 8gb RAM, 15-inch screen, i7 processor, and rtx 3080 GPU",linux,8gb,15,i7,rtx 3080,122199,yes
user8893,+91 8682665152,acer,"acer laptop with 4gb RAM, 13-inch screen, i9 processor, and rtx 3070 GPU",linux,4gb,13,i9,rtx 3070,55865,no
user7367,+91 9313691254,acer,"acer laptop with 4gb RAM, 14-inch screen, i7 processor, and rtx 3060 GPU",linux,4gb,14,i7,rtx 3060,61357,yes
user4015,+91 9042298505,acer,"acer laptop with 8gb RAM, 13-inch screen, ryzen 3 processor, and rtx 3080 GPU",windows,8gb,13,ryzen 3,rtx 3080,112976,yes
user3947,+91 7081084200,lenovo,"lenovo laptop with 16gb RAM, 14-inch screen, ryzen 9 processor, and rtx 2060 GPU",linux,16gb,14,ryzen 9,rtx 2060,134628,yes
user9468,+91 7933200821,hp,"hp laptop with 8gb RAM, 14-inch screen, i9 processor, and gtx 1050 GPU",macos,8gb,14,i9,gtx 1050,53847,yes
user2639,+91 7733730629,apple,"apple laptop with 2gb RAM, 13-inch screen, ryzen 3 processor, and rtx 3060 GPU",macos,2gb,13,ryzen 3,rtx 3060,163000,yes
user4353,+91 8888130897,hp,"hp laptop with 16gb RAM, 17-inch screen, i7 processor, and rtx 3080 GPU",linux,16gb,17,i7,rtx 3080,179404,yes
user6874,+91 7971991331,hp,"hp laptop with 16gb RAM, 16-inch screen, ryzen 9 processor, and rtx 3070 GPU",macos,16gb,16,ryzen 9,rtx 3070,104177,yes
user5855,+91 7032918181,mi,"mi laptop with 4gb RAM, 13-inch screen, ryzen 3 processor, and rtx 2060 GPU",macos,4gb,13,ryzen 3,rtx 2060,45166,no
user3132,+91 7325812196,apple,"apple laptop with 8gb RAM, 17-inch screen, ryzen 3 processor, and rtx 3070 GPU",macos,8gb,17,ryzen 3,rtx 3070,169000,yes
user2222,+91 7931363843,asus,"asus laptop with 4gb RAM, 16-inch screen, i5 processor, and rtx 3070 GPU",linux,4gb,16,i5,rtx 3070,50031,no
user7980,+91 8055953478,acer,"acer laptop with 2gb RAM, 14-inch screen, i3 processor, and rtx 3070 GPU",macos,2gb,14,i3,rtx 3070,40806,no
user8236,+91 9670646835,hp,"hp laptop with 4gb RAM, 16-inch screen, i9 processor, and rtx 3070 GPU",linux,4gb,16,i9,rtx 3070,57182,yes
user7594,+91 9209599806,asus,"asus laptop with 4gb RAM, 14-inch screen, ryzen 5 processor, and rtx 3080 GPU",macos,4gb,14,ryzen 5,rtx 3080,53264,no
user5403,+91 8665152100,lenovo,"lenovo laptop with 4gb RAM, 14-inch screen, i3 processor, and gtx 1050 GPU",linux,4gb,14,i3,gtx 1050,41915,yes
user6280,+91 7584879057,lenovo,"lenovo laptop with 32gb RAM, 16-inch screen, i9 processor, and rtx 3070 GPU",windows,32gb,16,i9,rtx 3070,268816,no
user6167,+91 8132279873,asus,"asus laptop with 16gb RAM, 13-inch screen, ryzen 3 processor, and rtx 3070 GPU",macos,16gb,13,ryzen 3,rtx 3070,94344,yes
user8471,+91 7109246441,mi,"mi laptop with 8gb RAM, 14-inch screen, i5 processor, and rtx 2060 GPU",windows,8gb,14,i5,rtx 2060,91281,yes
user9171,+91 8567209200,mi,"mi laptop with 16gb RAM, 15-inch screen, ryzen 3 processor, and rtx 2060 GPU",macos,16gb,15,ryzen 3,rtx 2060,163105,yes
user9608,+91 9846546196,lenovo,"lenovo laptop with 2gb RAM, 17-inch screen, i5 processor, and rtx 2060 GPU",linux,2gb,17,i5,rtx 2060,40575,no
user2917,+91 9522293792,mi,"mi laptop with 16gb RAM, 13-inch screen, ryzen 5 processor, and rtx 3080 GPU",windows,16gb,13,ryzen 5,rtx 3080,143674,yes
user7964,+91 7559307198,acer,"acer laptop with 4gb RAM, 14-inch screen, ryzen 5 processor, and rtx 2060 GPU",windows,4gb,14,ryzen 5,rtx 2060,46766,no
user7566,+91 8501679385,lenovo,"lenovo laptop with 4gb RAM, 13-inch screen, ryzen 5 processor, and rtx 2060 GPU",windows,4gb,13,ryzen 5,rtx 2060,49920,yes
user3710,+91 8741183178,hp,"hp laptop with 8gb RAM, 15-inch screen, ryzen 3 processor, and rtx 3070 GPU",macos,8gb,15,ryzen 3,rtx 3070,57253,yes
user5129,+91 7922854491,lenovo,"lenovo laptop with 4gb RAM, 14-inch screen, i5 processor, and gtx 1050 GPU",windows,4gb,14,i5,gtx 1050,44881,no
user9518,+91 8036444084,lenovo,"lenovo laptop with 32gb RAM, 16-inch screen, ryzen 3 processor, and gtx 1650 GPU",linux,32gb,16,ryzen 3,gtx 1650,264803,yes
user2432,+91 8805047593,lenovo,"lenovo laptop with 8gb RAM, 15-inch screen, ryzen 3 processor, and rtx 3060 GPU",windows,8gb,15,ryzen 3,rtx 3060,123071,no
user4779,+91 9686308058,apple,"apple laptop with 8gb RAM, 17-inch screen, ryzen 3 processor, and rtx 3080 GPU",macos,8gb,17,ryzen 3,rtx 3080,171000,no
user4522,+91 9016673025,apple,"apple laptop with 16gb RAM, 16-inch screen, ryzen 9 processor, and rtx 3060 GPU",macos,16gb,16,ryzen 9,rtx 3060,172000,yes
user8069,+91 8424447733,lenovo,"lenovo laptop with 8gb RAM, 16-inch screen, ryzen 7 processor, and rtx 3080 GPU",windows,8gb,16,ryzen 7,rtx 3080,67177,yes
user8918,+91 7424854958,asus,"asus laptop with 32gb RAM, 14-inch screen, i7 processor, and rtx 3080 GPU",linux,32gb,14,i7,rtx 3080,257774,no
user6983,+91 7444638969,asus,"asus laptop with 2gb RAM, 14-inch screen, i7 processor, and rtx 2060 GPU",linux,2gb,14,i7,rtx 2060,42907,no
user9994,+91 7912466715,hp,"hp laptop with 32gb RAM, 13-inch screen, i5 processor, and rtx 3060 GPU",windows,32gb,13,i5,rtx 3060,282508,no
user2810,+91 7585089550,mi,"mi laptop with 2gb RAM, 14-inch screen, i3 processor, and gtx 1650 GPU",linux,2gb,14,i3,gtx 1650,32514,no
user7195,+91 9808702978,acer,"acer laptop with 8gb RAM, 15-inch screen, i9 processor, and gtx 1650 GPU",macos,8gb,15,i9,gtx 1650,131276,no
user2532,+91 9920496533,acer,"acer laptop with 2gb RAM, 14-inch screen, ryzen 7 processor, and rtx 2060 GPU",windows,2gb,14,ryzen 7,rtx 2060,40803,yes
user2039,+91 7980262903,hp,"hp laptop with 16gb RAM, 17-inch screen, i5 processor, and rtx 3080 GPU",windows,16gb,17,i5,rtx 3080,173472,yes
user5978,+91 9472110336,lenovo,"lenovo laptop with 16gb RAM, 15-inch screen, i7 processor, and rtx 2060 GPU",macos,16gb,15,i7,rtx 2060,110950,no
user5938,+91 7969222395,lenovo,"lenovo laptop with 2gb RAM, 16-inch screen, ryzen 3 processor, and rtx 3060 GPU",macos,2gb,16,ryzen 3,rtx 3060,41168,yes
user3343,+91 9453448869,apple,"apple laptop with 16gb RAM, 17-inch screen, i9 processor, and rtx 3060 GPU",macos,16gb,17,i9,rtx 3060,174000,no
user1948,+91 9955513576,hp,"hp laptop with 2gb RAM, 13-inch screen, i3 processor, and rtx 3080 GPU",macos,2gb,13,i3,rtx 3080,44269,no
user2040,+91 9323091930,apple,"apple laptop with 32gb RAM, 14-inch screen, ryzen 9 processor, and rtx 2060 GPU",macos,32gb,14,ryzen 9,rtx 2060,274353,no
user4300,+91 9518896422,apple,"apple laptop with 4gb RAM, 13-inch screen, ryzen 3 processor, and rtx 3060 GPU",macos,4gb,13,ryzen 3,rtx 3060,163000,yes
user3791,+91 7693514034,mi,"mi laptop with 32gb RAM, 13-inch screen, i7 processor, and rtx 3060 GPU",linux,32gb,13,i7,rtx 3060,282160,yes
user6661,+91 8631127233,lenovo,"lenovo laptop with 2gb RAM, 16-inch screen, i5 processor, and rtx 3070 GPU",linux,2gb,16,i5,rtx 3070,47387,yes
user7413,+91 8333308623,lenovo,"lenovo laptop with 8gb RAM, 13-inch screen, i3 processor, and gtx 1650 GPU",linux,8gb,13,i3,gtx 1650,84390,yes
user6961,+91 9172665823,apple,"apple laptop with 16gb RAM, 17-inch screen, i7 processor, and rtx 3070 GPU",macos,16gb,17,i7,rtx 3070,174000,yes
user4427,+91 9337561381,asus,"asus laptop with 16gb RAM, 16-inch screen, i3 processor, and rtx 3060 GPU",linux,16gb,16,i3,rtx 3060,121018,no
user9339,+91 7833390204,lenovo,"lenovo laptop with 2gb RAM, 14-inch screen, i3 processor, and rtx 3060 GPU",linux,2gb,14,i3,rtx 3060,38084,yes
user7778,+91 7524567941,apple,"apple laptop with 8gb RAM, 17-inch screen, i5 processor, and rtx 3070 GPU",macos,8gb,17,i5,rtx 3070,172000,no
user8893,+91 7781318212,asus,"asus laptop with 16gb RAM, 15-inch screen, ryzen 3 processor, and rtx 2060 GPU",linux,16gb,15,ryzen 3,rtx 2060,113039,yes
user1342,+91 8725190735,acer,"acer laptop with 8gb RAM, 17-inch screen, i9 processor, and gtx 1650 GPU",macos,8gb,17,i9,gtx 1650,83229,yes
user9204,+91 8160071244,asus,"asus laptop with 32gb RAM, 16-inch screen, ryzen 7 processor, and gtx 1650 GPU",windows,32gb,16,ryzen 7,gtx 1650,254427,no
user9659,+91 7133923471,hp,"hp laptop with 16gb RAM, 13-inch screen, i9 processor, and rtx 3060 GPU",linux,16gb,13,i9,rtx 3060,135817,yes
user8987,+91 8405132722,lenovo,"lenovo laptop with 2gb RAM, 13-inch screen, i9 processor, and rtx 3080 GPU",windows,2gb,13,i9,rtx 3080,45902,no
user3175,+91 7128003327,apple,"apple laptop with 4gb RAM, 14-inch screen, i3 processor, and rtx 3070 GPU",macos,4gb,14,i3,rtx 3070,167000,no
user5035,+91 8777933142,asus,"asus laptop with 2gb RAM, 16-inch screen, ryzen 9 processor, and rtx 2060 GPU",linux,2gb,16,ryzen 9,rtx 2060,45826,no
user8485,+91 9404761124,lenovo,"lenovo laptop with 32gb RAM, 17-inch screen, i7 processor, and rtx 2060 GPU",windows,32gb,17,i7,rtx 2060,196049,no
user8011,+91 8727544439,mi,"mi laptop with 2gb RAM, 13-inch screen, i3 processor, and gtx 1650 GPU",macos,2gb,13,i3,gtx 1650,32503,no
user7872,+91 7918621831,lenovo,"lenovo laptop with 32gb RAM, 17-inch screen, ryzen 9 processor, and rtx 3080 GPU",linux,32gb,17,ryzen 9,rtx 3080,222236,yes
user8789,+91 7913847798,acer,"acer laptop with 8gb RAM, 14-inch screen, i7 processor, and rtx 3070 GPU",linux,8gb,14,i7,rtx 3070,126900,no
user9419,+91 7020768880,acer,"acer laptop with 2gb RAM, 17-inch screen, i5 processor, and rtx 2060 GPU",macos,2gb,17,i5,rtx 2060,41094,no
user1480,+91 9716511086,acer,"acer laptop with 2gb RAM, 14-inch screen, ryzen 9 processor, and gtx 1050 GPU",windows,2gb,14,ryzen 9,gtx 1050,34074,no
user3350,+91 9237909732,apple,"apple laptop with 16gb RAM, 16-inch screen, i3 processor, and rtx 3070 GPU",macos,16gb,16,i3,rtx 3070,169000,yes
user6605,+91 9797049879,apple,"apple laptop with 16gb RAM, 17-inch screen, i5 processor, and gtx 1050 GPU",macos,16gb,17,i5,gtx 1050,165905,no
user6105,+91 8471425951,acer,"acer laptop with 8gb RAM, 14-inch screen, ryzen 3 processor, and gtx 1650 GPU",linux,8gb,14,ryzen 3,gtx 1650,58309,yes
user3937,+91 9597720843,acer,"acer laptop with 32gb RAM, 13-inch screen, i3 processor, and gtx 1650 GPU",windows,32gb,13,i3,gtx 1650,243044,no
user1506,+91 7136898861,acer,"acer laptop with 16gb RAM, 13-inch screen, ryzen 3 processor, and rtx 3080 GPU",linux,16gb,13,ryzen 3,rtx 3080,77367,yes
user1581,+91 7411360769,acer,"acer laptop with 16gb RAM, 17-inch screen, i5 processor, and rtx 3080 GPU",windows,16gb,17,i5,rtx 3080,103302,no
user6259,+91 8387835370,acer,"acer laptop with 16gb RAM, 15-inch screen, i9 processor, and rtx 3080 GPU",windows,16gb,15,i9,rtx 3080,157050,no
user7299,+91 9545685015,asus,"asus laptop with 2gb RAM, 16-inch screen, i7 processor, and gtx 1050 GPU",macos,2gb,16,i7,gtx 1050,41563,no
user7748,+91 9834153819,apple,"apple laptop with 8gb RAM, 14-inch screen, i3 processor, and rtx 3070 GPU",macos,8gb,14,i3,rtx 3070,167000,yes
user5752,+91 8782630067,hp,"hp laptop with 4gb RAM, 13-inch screen, ryzen 9 processor, and gtx 1650 GPU",macos,4gb,13,ryzen 9,gtx 1650,50513,yes
user9081,+91 9451713781,hp,"hp laptop with 16gb RAM, 16-inch screen, ryzen 3 processor, and gtx 1650 GPU",macos,16gb,16,ryzen 3,gtx 1650,159762,yes
user4302,+91 8261209763,hp,"hp laptop with 2gb RAM, 16-inch screen, i5 processor, and rtx 3060 GPU",linux,2gb,16,i5,rtx 3060,43269,no
user1410,+91 9788716009,apple,"apple laptop with 4gb RAM, 15-inch screen, i7 processor, and gtx 1050 GPU",macos,4gb,15,i7,gtx 1050,164000,no
user9801,+91 9478931208,mi,"mi laptop with 2gb RAM, 15-inch screen, ryzen 7 processor, and rtx 3060 GPU",windows,2gb,15,ryzen 7,rtx 3060,41398,yes
user9844,+91 9907705848,mi,"mi laptop with 16gb RAM, 13-inch screen, ryzen 3 processor, and gtx 1050 GPU",windows,16gb,13,ryzen 3,gtx 1050,70830,yes
user1455,+91 8436861764,acer,"acer laptop with 32gb RAM, 17-inch screen, ryzen 9 processor, and gtx 1650 GPU",windows,32gb,17,ryzen 9,gtx 1650,286986,yes
user8137,+91 9596070494,asus,"asus laptop with 4gb RAM, 17-inch screen, ryzen 9 processor, and rtx 2060 GPU",windows,4gb,17,ryzen 9,rtx 2060,63497,yes
user9342,+91 9575477318,apple,"apple laptop with 8gb RAM, 14-inch screen, ryzen 3 processor, and gtx 1650 GPU",macos,8gb,14,ryzen 3,gtx 1650,160000,yes
user6580,+91 9695804939,lenovo,"lenovo laptop with 8gb RAM, 17-inch screen, ryzen 3 processor, and rtx 3070 GPU",windows,8gb,17,ryzen 3,rtx 3070,107843,no
user6431,+91 8819263787,asus,"asus laptop with 32gb RAM, 15-inch screen, ryzen 3 processor, and gtx 1050 GPU",windows,32gb,15,ryzen 3,gtx 1050,173037,yes
user7609,+91 7779559883,lenovo,"lenovo laptop with 32gb RAM, 15-inch screen, i7 processor, and rtx 3080 GPU",windows,32gb,15,i7,rtx 3080,257577,yes
user1130,+91 8358158275,hp,"hp laptop with 2gb RAM, 16-inch screen, i5 processor, and rtx 3060 GPU",linux,2gb,16,i5,rtx 3060,40560,yes
user4819,+91 8736470629,hp,"hp laptop with 32gb RAM, 17-inch screen, i3 processor, and rtx 3070 GPU",windows,32gb,17,i3,rtx 3070,269938,no
user7961,+91 7801958367,acer,"acer laptop with 16gb RAM, 17-inch screen, ryzen 7 processor, and rtx 3070 GPU",linux,16gb,17,ryzen 7,rtx 3070,179103,no
user5101,+91 7509690196,apple,"apple laptop with 8gb RAM, 16-inch screen, ryzen 5 processor, and rtx 3080 GPU",macos,8gb,16,ryzen 5,rtx 3080,172000,yes
user5991,+91 7185636374,hp,"hp laptop with 32gb RAM, 16-inch screen, ryzen 5 processor, and gtx 1050 GPU",linux,32gb,16,ryzen 5,gtx 1050,240748,no
user6865,+91 8805254213,lenovo,"lenovo laptop with 8gb RAM, 16-inch screen, i3 processor, and gtx 1650 GPU",macos,8gb,16,i3,gtx 1650,72685,yes
user3971,+91 8416559029,hp,"hp laptop with 16gb RAM, 14-inch screen, ryzen 3 processor, and rtx 3080 GPU",linux,16gb,14,ryzen 3,rtx 3080,118740,no
user9175,+91 9764522847,acer,"acer laptop with 4gb RAM, 13-inch screen, ryzen 9 processor, and gtx 1650 GPU",macos,4gb,13,ryzen 9,gtx 1650,50705,yes
user6344,+91 8320856769,asus,"asus laptop with 32gb RAM, 14-inch screen, i5 processor, and rtx 3060 GPU",linux,32gb,14,i5,rtx 3060,228322,yes
user9783,+91 7982553439,lenovo,"lenovo laptop with 16gb RAM, 17-inch screen, i5 processor, and rtx 3060 GPU",macos,16gb,17,i5,rtx 3060,95229,yes
